IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
144.24.67.85,443,443,true,SIN,Asia Pacific,SG,Singapore,139,7.09
146.56.108.26,443,443,true,SIN,Asia Pacific,SG,Singapore,136,6.07
152.67.206.12,443,443,true,SIN,Asia Pacific,SG,Singapore,139,5.42
140.245.76.156,443,443,true,SIN,Asia Pacific,SG,Singapore,138,5.13
158.180.73.12,443,443,true,SIN,Asia Pacific,SG,Singapore,142,4.67
146.56.177.76,443,443,true,SIN,Asia Pacific,SG,Singapore,262,4.31
146.56.142.57,443,443,true,SIN,Asia Pacific,SG,Singapore,166,4.06
152.67.220.111,443,443,true,SIN,Asia Pacific,SG,Singapore,124,4.03
146.56.42.209,443,443,true,SIN,Asia Pacific,SG,Singapore,144,3.83
140.245.72.17,443,443,true,SIN,Asia Pacific,SG,Singapore,117,3.45
64.110.80.113,443,443,true,SIN,Asia Pacific,SG,Singapore,163,3.44
132.226.224.158,443,443,true,SIN,Asia Pacific,SG,Singapore,271,3.30
150.230.106.250,443,443,true,SIN,Asia Pacific,SG,Singapore,220,2.93
140.245.87.70,443,443,true,SIN,Asia Pacific,SG,Singapore,214,2.71
47.245.86.131,443,443,true,SIN,Asia Pacific,SG,Singapore,227,2.65
52.221.204.184,443,443,true,SIN,Asia Pacific,SG,Singapore,80,2.43
138.2.66.92,443,443,true,SIN,Asia Pacific,SG,Singapore,220,2.42
146.56.98.226,443,443,true,SIN,Asia Pacific,SG,Singapore,137,2.32
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,219,2.09
138.3.218.212,443,443,true,SIN,Asia Pacific,SG,Singapore,223,2.02
140.245.96.188,443,443,true,SIN,Asia Pacific,SG,Singapore,217,1.89
146.56.36.150,443,443,true,SIN,Asia Pacific,SG,Singapore,165,1.39
130.162.153.154,443,443,true,SIN,Asia Pacific,SG,Singapore,180,1.34
8.219.53.241,443,443,true,SIN,Asia Pacific,SG,Singapore,82,0.78
8.219.120.166,443,443,true,SIN,Asia Pacific,SG,Singapore,82,0.75
8.219.8.230,443,443,true,SIN,Asia Pacific,SG,Singapore,85,0.72
8.219.161.216,443,443,true,SIN,Asia Pacific,SG,Singapore,100,0.65
8.219.68.219,443,443,true,SIN,Asia Pacific,SG,Singapore,87,0.64
131.186.45.101,443,443,true,SIN,Asia Pacific,SG,Singapore,271,0.63
8.219.139.35,443,443,true,SIN,Asia Pacific,SG,Singapore,119,0.61
8.219.76.182,443,443,true,SIN,Asia Pacific,SG,Singapore,83,0.61
8.219.92.147,443,443,true,SIN,Asia Pacific,SG,Singapore,87,0.58
8.219.236.134,443,443,true,SIN,Asia Pacific,SG,Singapore,120,0.56
146.56.137.17,443,443,true,SIN,Asia Pacific,SG,Singapore,167,0.53
8.219.77.151,443,443,true,SIN,Asia Pacific,SG,Singapore,84,0.53
8.219.168.80,443,443,true,SIN,Asia Pacific,SG,Singapore,118,0.51
8.219.165.39,443,443,true,SIN,Asia Pacific,SG,Singapore,102,0.49
8.219.11.96,443,443,true,SIN,Asia Pacific,SG,Singapore,85,0.44
8.219.178.234,443,443,true,SIN,Asia Pacific,SG,Singapore,120,0.44
8.219.219.204,443,443,true,SIN,Asia Pacific,SG,Singapore,103,0.43
8.222.162.231,443,443,true,SIN,Asia Pacific,SG,Singapore,217,0.40
8.222.133.159,443,443,true,SIN,Asia Pacific,SG,Singapore,221,0.27
8.219.142.205,443,443,true,SIN,Asia Pacific,SG,Singapore,122,0.27
3.0.50.69,443,443,true,SIN,Asia Pacific,SG,Singapore,87,0.20
8.219.62.73,443,443,true,SIN,Asia Pacific,SG,Singapore,86,0.18
47.236.96.3,443,443,true,SIN,Asia Pacific,SG,Singapore,217,0.17
13.250.14.76,443,443,true,SIN,Asia Pacific,SG,Singapore,99,0.15
43.134.187.215,443,443,true,SIN,Asia Pacific,SG,Singapore,219,0.15
47.236.102.169,443,443,true,SIN,Asia Pacific,SG,Singapore,217,0.15
43.156.116.194,443,443,true,SIN,Asia Pacific,SG,Singapore,227,0.15
8.222.162.103,443,443,true,SIN,Asia Pacific,SG,Singapore,219,0.11
175.41.148.129,443,443,true,SIN,Asia Pacific,SG,Singapore,84,0.10
8.219.111.95,443,443,true,SIN,Asia Pacific,SG,Singapore,85,0.09
43.134.34.18,443,443,true,SIN,Asia Pacific,SG,Singapore,100,0.06
8.219.160.12,443,443,true,SIN,Asia Pacific,SG,Singapore,103,0.05
43.156.53.68,443,443,true,SIN,Asia Pacific,SG,Singapore,230,0.04
129.226.204.167,443,443,true,SIN,Asia Pacific,SG,Singapore,231,0.04
5.255.105.253,443,443,true,AMS,Europe,NL,Amsterdam,275,0.03
47.236.181.185,8443,443,true,SIN,Asia Pacific,SG,Singapore,211,0.02
8.222.158.140,443,443,true,SIN,Asia Pacific,SG,Singapore,216,0.02
8.222.161.29,443,443,true,SIN,Asia Pacific,SG,Singapore,217,0.01
8.219.192.235,443,443,true,SIN,Asia Pacific,SG,Singapore,101,0.00
152.67.206.136,443,443,true,SIN,Asia Pacific,SG,Singapore,137,0.00
8.219.153.233,443,443,true,SIN,Asia Pacific,SG,Singapore,121,0.00
8.219.113.8,443,443,true,SIN,Asia Pacific,SG,Singapore,90,0.00
144.24.89.125,443,0,true,SIN,Asia Pacific,SG,Singapore,139,0.00
8.222.169.249,443,443,true,SIN,Asia Pacific,SG,Singapore,219,0.00
